Date,Region,Category,Revenue,Cost,Profit
2025-01-01,North,Electronics,12270,9191.9,3078.1
2025-01-01,North,Furniture,10390,7615.85,2774.15
2025-01-01,North,Office Supplies,16964,11861.44,5102.56
2025-01-01,South,Electronics,11265,6635.07,4629.93
2025-01-01,South,Furniture,9426,6266.52,3159.48
2025-01-01,South,Office Supplies,16636,11649.84,4986.16
2025-01-01,East,Electronics,13322,7395.66,5926.34
2025-01-01,East,Furniture,5769,4214.25,1554.75
2025-01-01,East,Office Supplies,11949,6574.28,5374.72
2025-01-01,West,Electronics,10051,5988.9,4062.1
2025-01-01,West,Furniture,9555,6716.34,2838.66
2025-01-01,West,Office Supplies,11396,7498.41,3897.59
2025-01-02,North,Electronics,13666,9606.7,4059.3
2025-01-02,North,Furniture,12849,7216.85,5632.15
2025-01-02,North,Office Supplies,7747,4970.4,2776.6
2025-01-02,South,Electronics,5189,2971.49,2217.51
2025-01-02,South,Furniture,8005,4802.35,3202.65
2025-01-02,South,Office Supplies,12734,10133.82,2600.18
2025-01-02,East,Electronics,6528,3666.21,2861.79
2025-01-02,East,Furniture,8890,6401.48,2488.52
2025-01-02,East,Office Supplies,16080,9105.51,6974.49
2025-01-02,West,Electronics,15627,12275.8,3351.2
2025-01-02,West,Furniture,15253,11471.77,3781.23
2025-01-02,West,Office Supplies,16016,8872.73,7143.27
2025-01-03,North,Electronics,12041,8682.26,3358.74
2025-01-03,North,Furniture,10486,7558.48,2927.52
2025-01-03,North,Office Supplies,15748,11941.69,3806.31
2025-01-03,South,Electronics,13226,10280.97,2945.03
2025-01-03,South,Furniture,15147,9020.93,6126.07
2025-01-03,South,Office Supplies,12555,7883.63,4671.37
2025-01-03,East,Electronics,16653,10024.86,6628.14
2025-01-03,East,Furniture,8843,5272.32,3570.68
2025-01-03,East,Office Supplies,17990,13682.68,4307.32
2025-01-03,West,Electronics,10675,8378.54,2296.46
2025-01-03,West,Furniture,15173,11860.2,3312.8
2025-01-03,West,Office Supplies,18103,11434.49,6668.51
2025-01-04,North,Electronics,12629,7564.72,5064.28
2025-01-04,North,Furniture,6016,4754.4,1261.6
2025-01-04,North,Office Supplies,12892,8343.31,4548.69
2025-01-04,South,Electronics,13529,9266.32,4262.68
2025-01-04,South,Furniture,9887,6319.66,3567.34
